name,brand,category,abv,volume_ml,origin,avg_price,tasting_notes,source,verified
치타,산토리,whiskey,43,700,일본,80000,그레인 위스키,csv,true
미야기쿄,니카,whiskey,45,700,일본,110000,싱글몰트,csv,true
요이치,니카,whiskey,45,700,일본,110000,싱글몰트,csv,true
닛카 세션,니카,whiskey,43,700,일본,60000,블렌디드,csv,true
닛카 데이즈,니카,whiskey,40,700,일본,50000,블렌디드,csv,true
산토리 가쿠빈,산토리,whiskey,40,700,일본,35000,,csv,true
산토리 올드,산토리,whiskey,43,700,일본,45000,,csv,true
산토리 로열,산토리,whiskey,43,700,일본,80000,,csv,true
이치로즈 몰트 & 그레인,벤처 위스키,whiskey,46.5,700,일본,120000,치치부,csv,true
# 대만/인도/기타
카발란 디스틸러리 셀렉트,카발란,whiskey,40,700,대만,80000,,csv,true
카발란 콘서트마스터,카발란,whiskey,40,700,대만,100000,포트 캐스크,csv,true
앰룻 퓨전,앰룻,whiskey,50,700,인도,100000,싱글몰트,csv,true
폴존 싱글몰트,폴존,whiskey,46,700,인도,80000,,csv,true
스타워드 노바,스타워드,whiskey,41,700,호주,80000,호주 위스키,csv,true
# 한국
기장 위스키,기장주조,whiskey,40,500,한국,80000,한국 싱글몰트,csv,true
쓰리소사이어티즈 K3,쓰리소사이어티즈,whiskey,40,700,한국,150000,,csv,true
